id	speaker	transmission	machine	source_status	statement_sinngist	conventional_translation	confidence	implication
B018	Paul Baumann	Marinov report	M2/M3	P1/M3	Upper component called crystal	unknown nonlinear material/device, possibly charge gate	medium-high for term, low for function	measure candidate I-V and phase behavior
B019	Paul Baumann	Hauser/Weber reports	large two-disc family	P1/H1	One disk/cloud and other/earth analogy	bipolar field-reservoir analogy	medium-high	model as field boundary condition, not literal source
B020	Paul Baumann	Mike Watson recollection of Marinov	large machine	H2	Large sectors are lightly magnetized special Fe-Ni alloy	model-specific magnetic/conductive rotor material	low-medium	material A/B tests; not M2 default
B021	Paul Baumann	late Frolov compilation	unspecified	H2/I1	Electrons must never be withdrawn directly from disks	preserve rotor bias; extract induced charge at secondary stator nodes	low	interesting load-reaction experiment; not baseline fact
B022	Paul Baumann	late Frolov compilation	unspecified	H2/I1	Random particles must be ordered by straightening	polarity-selective/asymmetric carrier transport	low	find original source before elevating
B023	Paul Baumann	late Frolov compilation	unspecified	H2/I1	Each lamella connected to neighbor via 1 kOhm resistor	distributed rotor RC network	low; conflicts with direct Marinov small-machine `connected to nothing` statement	never M2 baseline; only separately labelled secondary control if tested
B024	Paul Baumann	late Frolov compilation	unspecified	H2/I1	Machines can generate electricity from air	could mean atmospheric ions/field or imprecise philosophy	low	quantify ion concentration/field before source claim
C001	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	Segments are special alloys and can be magnetized	material/magnetic property on large variants	medium-high for workshop statement	keep separate from small Cu-wire model
C002	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	About 60 rpm, not faster	model-specific operating speed	medium	no universal 50 Hz inference
C003	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	Energy is taken at two poles, goes upward and is strengthened	downstream charge/impedance conversion path	medium	trace nodes physically; do not infer energy gain
C004	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	System has DC while visitor suggests transformer	DC-biased network with time-varying internal pulses if inductive conversion occurs	medium	measure transient waveform, not mains-frequency assumption
C005	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	Upper device increases capacity; contains magnets and likely coils	capacitive/inductive impedance-conditioning stage	medium-low due unclear speech	keep distinct from M2 simple pots
C006	Luzi Cathomen	direct amateur-video transcript	large workshop machines	O1/P1	Energy then goes down to capacitors, is stored, then output	storage bus after conversion stage	medium	map downstream capacitor charge/discharge
C007	Luzi Cathomen	direct amateur-video transcript	early/workshop machine	O1/P1	Fühler maintains constant impulse frequency/synchronization	closed-loop speed/phase control	medium-high	correlate sensor pulse with rotor angle and commutation
C008	Luzi Cathomen	direct amateur-video transcript	early development	O1/P1	Idea began with static electricity from phonograph records	tribo/electrostatic development origin	medium-high	historical context only
C009	Luzi Cathomen	direct amateur-video transcript	early development	O1/P1	School model gives one voltage snap then it is gone; problem is keeping voltage up	self-excitation/regenerative charge-maintenance is central engineering problem	high as workshop concept	focus experiments on bias regeneration and load reaction
M001	Stefan Marinov	own writing/observation	M2	P1	He did not know the full operating principle or exact schematic	observer limitation; prevents false 1:1 schematic claim	high	all wiring beyond observed nodes remains hypothesis
M002	Stefan Marinov	own writing/interpretation	M2	I1	Testatika resembles influence generator coupled to electrostatic motor	shared-rotor generator/motor topology	medium as interpretation	build low-energy coupled model and energy-balance it
M003	Stefan Marinov	own interpretation	M2	I1	Possible high-voltage driving and lower-voltage collecting capacitor systems	two-bus architecture: HV drive bias + larger-capacitance load/storage bus	medium-low but coherent	map buses and perturb separately
M004	Stefan Marinov	own observation/letter	M2/M3 small family	P1	Small pot is cylindrical grid + plastic insulation + central copper spiral; no Tesla transformer interpretation	capacitive side module	high for observed small-machine family	measure capacitance/impedance; keep M6 cylinder internals separate
M005	Stefan Marinov	own later experiment	comparison	R1/I1	Could not obtain Testatika-like high current from his influence machine	critical negative constraint on simple generator+motor theory	high	require mechanism explaining current claim or downgrade claim
M006	Stefan Marinov	primary correspondence scan SMweb2.jpg	M2/M3 small family	P1	Baumann tried to explain but Marinov could not understand because Baumann had `ANOTHER language`	direct evidence of source-language mismatch; not evidence of new physics	high for exact scan wording	use `ANOTHER language`; do not fabricate popular exact quote `like an unknown language`
M007	Stefan Marinov	primary correspondence scan SMwebL1.jpg	M2/M3 small family	P1	Wires on the described small-machine disk are `connected to nothing`	electrically floating rotor-sector conductors	high for described small machine; exact M2/M3 image assignment pending	M2 preferred baseline E0 = individually floating sectors; no neighbour resistor ring
M008	Stefan Marinov	primary correspondence scan SMwebL1.jpg	M2/M3 small family	P1	Two wires are clearly visible going to each right/left condenser	two-terminal external pot interface	high for observed interface; internal topology unknown	build historically faithful two-lead pot mode; hide/isolate extra lab taps
M009	Stefan Marinov	primary correspondence scan SMwebL1.jpg	M2/M3 small family	P1	There is no motor in the described small machine; rotation attributed to electrostatic repulsion	no conventional built-in drive motor	high for statement; energy source still open	lab rpm motor must be removable/decoupled test equipment
M010	Stefan Marinov	primary correspondence scan SMwebL1.jpg	M2/M3 small family	P1	Baumann spoke of a `crystal`, not a `rectifier`, in Marinov's conversation	terminology distinction; possible nonlinear component remains unknown	high for Marinov report, low for component function	keep M2 crystal black-box separate from institutional rectifying-diode and Hauser large-machine interpretations
M011	Stefan Marinov	primary correspondence scan SMweb2.jpg	M2/M3 small family	P1/I1	No Tesla coils / no alternating current; visible spirals are electrodes of condensers	DC/electrostatic small-machine interpretation	high as Marinov's direct conclusion	no Tesla/HF M2 baseline; HF only explicit comparison hypothesis
M012	Stefan Marinov	primary correspondence scan SMweb2.jpg	M2/M3 small family	P1	One small machine described without magnets while another includes magnets	magnet presence is variant-specific	high for model distinction	never transfer magnet requirement across small-machine IDs without source bridge
H001	Albert Hauser	direct visit report 1986 / ABweb1.jpg	M6a	P1/I1	~500 mm Plexiglas disc with 50 chrome-steel lamellae; counter-rotating related disc	large/medium sheet-sector architecture	high for observer report	segregate from M2 wire-sector geometry
H002	Albert Hauser	direct visit/follow-up ABweb1/2/9	M6a	P1	Perforated stationary electrodes do not touch discs; roughly 8 front and 6 rear reported	non-contact large-machine stator architecture	high	use as cross-machine non-contact precedent, not M2 dimensions
H003	Albert Hauser	1988 correspondence AHwebL7.jpg	M6a	P1/I1	Three concentric metal-grid tubes with acrylic separators around central magnet tube and two-layer bifilar copper winding	complex large-cylinder module	high for Hauser account	strictly separate from M2 two-terminal simple pot baseline
H004	Albert Hauser	ABweb2/AHwebl8	M6a	P1/I1	Crystals observed at top position; rectifier identity partly Hauser interpretation	nonlinear/top-module cross-machine precedent	medium-high geometry / medium-low function	do not merge automatically with Marinov M2 `crystal`
