segment_id	start_sec	end_sec	timestamp	text
M3_036	223.78	229.42	[03:43 - 03:49]	with that what he has created, with nature.
M3_037	229.42	245.18	[03:49 - 04:05]	That I think is one point which has made you to start your journey.
M3_038	246.18	262.18	[04:06 - 04:22]	We are living in a world, in a mix of souls, plants, living creatures, animals, human beings
M3_039	262.18	276.95	[04:22 - 04:36]	and all what is being created by this same creative spirit which we are called.
M3_040	276.95	279.95	[04:36 - 04:39]	We just do it for the name.
M3_041	279.95	282.95	[04:39 - 04:42]	It is not so important.
M3_042	282.95	287.95	[04:42 - 04:47]	The important is our conception, our understanding of that.
M3_043	287.95	301.88	[04:47 - 05:01]	To learn to build the bridge to this main principle of life
M3_044	301.88	310.04	[05:01 - 05:10]	through everything which was created by it.
M3_045	310.04	313.20	[05:10 - 05:13]	So we learn to know it.
M3_046	313.20	333.00	[05:13 - 05:33]	The Christian basics are giving us signposts how to act and how to react in this and this and this situation.
M3_047	333.00	338.00	[05:33 - 05:38]	And we appreciate very much this signpost.
M3_048	338.00	349.00	[05:38 - 05:49]	In the ancient testament we have some concentrated signposts, the Ten Commandments.
M3_049	349.00	359.45	[05:49 - 05:59]	For us they are very important but how to understand what was given two and a half thousand years ago.
M3_050	360.45	375.34	[06:00 - 06:15]	Also the chaos is all the material needed to build up something nice and useful but as you said not yet organized.
M3_051	375.34	380.57	[06:15 - 06:20]	And the spirit knows how to organize.
M3_052	380.57	384.57	[06:20 - 06:24]	He has the plan and he has the wisdom.
M3_053	384.57	394.27	[06:24 - 06:34]	And the spirit did not say you ought to serve me to my plan.
M3_054	394.27	396.27	[06:34 - 06:36]	He was asking.
M3_055	396.27	407.66	[06:36 - 06:47]	He said look I have the plan and you are the material I need to realize my plan.
M3_056	407.66	412.66	[06:47 - 06:52]	Let us make a pact, a union.
M3_057	412.66	420.26	[06:52 - 07:00]	Let us work together and then we will start to build up the new world.
M3_058	420.26	426.42	[07:00 - 07:06]	And the water here, the symbol for all the material.
M3_059	426.42	430.16	[07:06 - 07:10]	One moment we do not know the time.
M3_060	430.16	432.16	[07:10 - 07:12]	Time was not yet existing.
M3_061	432.16	439.21	[07:12 - 07:19]	He said oh yes you have convinced me.
M3_062	439.21	441.21	[07:19 - 07:21]	You have a very good plan.
M3_063	441.21	444.53	[07:21 - 07:24]	Let us work together.
M3_064	444.53	446.62	[07:24 - 07:26]	Let us start.
M3_065	446.62	456.02	[07:26 - 07:36]	And then the beginning of the new world was starting.
M3_066	456.02	467.82	[07:36 - 07:47]	Out of chaotic situation in six days it is told in the Genesis in the Bible.
M3_067	467.82	477.82	[07:47 - 07:57]	Then the soil was made, then the soil was separated from the water.
M3_068	477.82	488.82	[07:57 - 08:08]	Then the first living beings, sun and moon, the lights and the sky were created.
M3_069	488.82	497.82	[08:08 - 08:17]	Day and night were separated and then the first living beings in the water, then in the air and then on the earth.
M3_070	497.82	504.40	[08:17 - 08:24]	And at the sixth day at the end was created the human.
M3_071	504.40	516.41	[08:24 - 08:36]	With the aim to become something perfect.
M3_072	516.41	529.11	[08:36 - 08:49]	He had everything what is needed to start a way to become an ideal entity.
M3_073	529.11	538.68	[08:49 - 08:58]	But he had the choice to choose.
M3_074	538.68	548.61	[08:58 - 09:08]	This is a direction, a recommended direction to do and to act.
M3_075	548.61	550.61	[09:08 - 09:10]	Indeed.
