Datei;Pixel;Bytes;SHA256;Quelle_URL;Hinweis
02_Testatika_Originalfotos/TESTA10_RuckZuck_rimstar.JPG;499x434;28441;2d9658f391a80026b87c403670efba623a1e88c3435be559e78fc1957d271c34;https://rimstar.org/sdenergy/testa/misc/TESTA10.JPG;Ruck-Zuck/Panning-Arm-Maschine, historische Video-/Fotoaufnahme.
02_Testatika_Originalfotos/TESTA11_RuckZuck_rimstar.JPG;369x319;17558;f33ffb945870f6e89fe63d978a6fdd4bf1ce4e07855bbf7e60f71d7c284bb5ec;https://rimstar.org/sdenergy/testa/misc/TESTA11.JPG;Ruck-Zuck/Panning-Arm-Maschine, zweite historische Video-/Fotoaufnahme.
02_Testatika_Originalfotos/TESTA4_rimstar.JPG;800x563;52727;1a50960efc8056f8164e37d23c4f6888dab040876628fe12bf7a948b22dae757;https://rimstar.org/sdenergy/testa/misc/TESTA4.JPG;Große, unvollendete Testatika/Elephant-Aufnahme.
02_Testatika_Originalfotos/TESTA7_rimstar.JPG;800x665;46479;9fbc483910e85350672bda7bfcd2ce672ed31b3acf79bfca329eab1243b43e9b;https://rimstar.org/sdenergy/testa/misc/TESTA7.JPG;Historische Testatika-Aufnahme, Frontansicht.
02_Testatika_Originalfotos/TESTA8_rimstar.JPG;800x609;46815;8ac222a5e12452b58ea31172f0d229f86ac93c09253937857d21327f2fb855f7;https://rimstar.org/sdenergy/testa/misc/TESTA8.JPG;Historische Testatika-Aufnahme, Frontansicht/Variante.
02_Testatika_Originalfotos/Tandem1_rimstar.jpg;800x534;81146;64754bf16af6732423c6406bdc6394141db9e78a1078673004078b16812d6420;https://rimstar.org/sdenergy/testa/misc/Tandem1.jpg;Tandem 1 mit Luzi Cathomen.
02_Testatika_Originalfotos/Tandem2_rimstar.jpg;800x700;36269;76a2c00743b2c2505527e42b42478b6a3595531f4517307b455db95f36a3ec0d;https://rimstar.org/sdenergy/testa/misc/Tandem2.jpg;Tandem 2.
03_Historische_Scans/TWT6_Scan_S248_RaumZeit39_AprMai1989.jpg;1675x2350;1407698;ba625e2eed2efaf0aac321d11c85427ae93d4e605534f9999bf8d08b81b12f56;https://rexresearch.com/MarinovLibrary/thornywayoftruthpart6maririch.pdf;Komplette Scan-Seite mit Marinov/Testatika-Foto und Quellenkontext.
03_Historische_Scans/TWT7_Scan_S227_Frigidaire108_Nov1989.jpg;1655x2425;1040465;910f48e77b7a566b6593adf1a087dc43681033ca5cd4a270bc3b1712eadeb8ae;https://rexresearch.com/MarinovLibrary/thorny_waytruth7.pdf;Komplette Scan-Seite Frigidaire Nr. 108 mit seltener Testatika-Aufnahme.
03_Historische_Scans/TWT7_Scan_S234_Marinov_mit_Testatika.jpg;1655x2425;976626;fa1ca0c9ef0d4a184b42a1ef81d289b219c2a84d02b994f15dd0f1e1c2cb8508;https://rexresearch.com/MarinovLibrary/thorny_waytruth7.pdf;Komplette Scan-Seite mit zweiter Marinov/Testatika-Aufnahme.
04_Detailaufnahmen/3kW_sector_center_original_rimstar.jpg;640x480;66807;9b82ac3811785ba27997b1712f2354c1f94b58859de9db90a60104aecc31e7a9;https://rimstar.org/sdenergy/testa/3kwmach_sectors/3kwmach_sectors_center_1.jpg;Originaler Detailausschnitt des Scheibenzentrums.
04_Detailaufnahmen/3kW_sector_edge_original_rimstar.jpg;640x480;63954;90a48b161842e39d5a3283a81dc4df41237e2aef2c124470f926891834b73c0e;https://rimstar.org/sdenergy/testa/3kwmach_sectors/3kwmach_sectors_edge_1_orig.jpg;Originaler Video-/Fotoausschnitt des Scheibenrandes der 3-kW-Maschine.
04_Detailaufnahmen/Hufeisenmagnet_Detail_rexresearch.jpg;352x288;31775;493e63ae1b4f2d3cbac75870aebe4a297f7e56530e0e1b5e0651b61dd9aa73e2;https://rexresearch.com/testatik/horshu.jpg;Detailaufnahme des Hufeisenmagnet-/Spulenbereichs.
04_Detailaufnahmen/TESTA9_3kW_rear_composite_rimstar.JPG;786x1018;75339;3e01b45542c7926f2c0625308010b3b94e228f163be1309321d801f410f0ced4;https://rimstar.org/sdenergy/testa/misc/TESTA9.JPG;"Zusammengesetzte Rückansicht aus Videoausschnitten; Rimstar beschreibt die Rückansicht als Composite, also kein einzelnes Originalfoto."
04_Detailaufnahmen/novak_181.jpg;352x288;31577;a6a36d5f8c3690a6df78ac2f5012d59505c1588a228c7ec89c69b9f66e2ae609;https://www.novakcorp.com/energy/experiments/181.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/novak_91.jpg;352x288;27113;2d09550e091ffa8bbbda2031e89de10f823108c518b08bcd064c6efb309a2e76;https://www.novakcorp.com/energy/experiments/91.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/novak_mlad.jpg;161x122;5208;3b35c0a18d7efbe13e8e89418c553a9d30adc0f1e6a87e5b76d25b4ff4b2f100;https://www.novakcorp.com/energy/experiments/mlad.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/novak_mlas.jpg;161x122;4872;bf7e37add719e289cea1da2dd2a203d6606a16a7445ab991c36ffdf55155453a;https://www.novakcorp.com/energy/experiments/mlas.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/novak_mld.jpg;161x122;5390;27e518716927015db0518b6eaa79d1c5255cf9d10ec3102c7040c8985a410509;https://www.novakcorp.com/energy/experiments/mld.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/novak_mls.jpg;161x122;5266;c7ac972c8b6ba886ecda5352b4d1d4ea1acb303a4f88bf8ceb21284cbb28bb6b;https://www.novakcorp.com/energy/experiments/mls.jpg;Historischer/abgeleiteter Detailausschnitt von Novakcorp.
04_Detailaufnahmen/small_machine_center_annotated_rimstar.jpg;440x361;40083;e145c502858d8e798e9395879b9ebd29e74728ec21c70be183618840c133bee0;https://rimstar.org/sdenergy/testa/3kwmach_sectors/smallmach_center_annotated.jpg;"Annotierter Detailausschnitt der kleinen Maschine; kein unverändertes Originalfoto."
05_Quellvarianten_Dubletten/Hufeisenmagnet_novak_254_exakt_duplikat.jpg;352x288;31775;493e63ae1b4f2d3cbac75870aebe4a297f7e56530e0e1b5e0651b61dd9aa73e2;https://www.novakcorp.com/energy/experiments/254.jpg;"Byte-identisch mit RexResearch horshu.jpg; als Quellenvariante behalten."
05_Quellvarianten_Dubletten/Luzi_Cathomen_10kW_rimstar_exakt_duplikat.jpg;549x357;100911;9be95dd77e42e74f877b417e38d5b593a1c65001cdaf1d621c6a5f56aec09be6;https://rimstar.org/sdenergy/testa/misc/test.jpg;"Byte-identisch mit der RexResearch-Datei test.jpg; als Quellenvariante behalten."
05_Quellvarianten_Dubletten/Marinov_mit_zwei_Testatika_rimstar_klein.jpg;200x169;10037;fb1de817208e565ba4b4903b0f46096b675d1135c5d9375aec1c49108f419b1e;https://rimstar.org/sdenergy/testa/misc/marinov.jpg;Kleine Webvariante derselben frontalen Marinov-Aufnahme.
